Date,year_month,usd_ngn_rate,oil_price,external_reserves,mpr,fx_return,oil_return,reserves_change,mpr_change,volatility,spike
2013-10-01,2013-10,159.83,109.47869565217,46721016501.41625,12.0,-1.315139540627308,-1.9196429813553184,0.4586357793495255,0.0,0.9414084573888117,0
2013-11-01,2013-11,158.79,108.07619047619,46452616989.415,12.0,-0.6506913595695551,-1.2810758911815712,-0.5744727578714248,0.0,0.9197799548093254,0
2013-12-01,2013-12,159.05,110.674,46875334098.24556,12.0,0.16373827067197588,2.403683468453033,0.9099963279289192,0.0,0.740705360751886,0
2014-01-01,2014-01,160.23,107.42,37917916326.375,12.0,0.7419050613014733,-2.940166615465245,-19.109021715123763,0.0,0.699630527710257,0
2014-02-01,2014-02,163.62,108.81,38673877722.41778,12.0,2.1157086687886295,1.2939862223049658,1.993678633435203,0.0,1.0026466330712822,0
2014-03-01,2014-03,164.61,107.4,38767551608.670006,12.0,0.6050605060506031,-1.2958367797077486,0.24221487931614938,0.0,0.8354759776947663,0
2014-04-01,2014-04,162.19,107.79,38727582256.82889,12.0,-1.4701415466861212,0.36312849162010163,-0.10310001581884665,0.0,1.8003167868964358,1
2014-05-01,2014-05,161.86,109.68,38775472676.0625,12.0,-0.20346507182932294,1.7534094071806283,0.12365971858510072,0.0,1.0459960533485335,0
2014-06-01,2014-06,162.82,111.87,39624492752.36285,12.0,0.5931051526010034,1.9967177242888434,2.1895802106481455,0.0,1.0405111209179572,0
2014-07-01,2014-07,162.25,106.98,39525806271.36,12.0,-0.350079842771156,-4.371145079109684,-0.24905424435234247,0.0,0.5075460486501554,0
2014-08-01,2014-08,161.99,101.92,38952866239.78125,12.0,-0.1602465331278835,-4.729856047859416,-1.4495340781799482,0.0,0.49886093308250473,0
2014-09-01,2014-09,162.93,97.34,38633937932.055,12.0,0.5802827335020577,-4.49372056514914,-0.8187544037530636,0.0,0.49159515923761865,0
2014-10-01,2014-10,164.64,87.27,39038103605.516,12.0,1.049530473209348,-10.345181836860496,1.0461415405589758,0.0,0.6099368056088529,0
2014-11-01,2014-11,171.1,78.44,38533823365.12888,13.0,3.923712342079688,-10.118024521599633,-1.2917641837393523,1.0,1.810139792211126,1
2014-12-01,2014-12,180.33,62.33,38479364474.37875,13.0,5.394506136762134,-20.53799082100969,-0.14132750398033744,0.0,2.209938510407218,1
2015-01-01,2015-01,181.78,48.07,29895862415.608,13.0,0.8040814063106527,-22.878228782287824,-22.30676669435646,0.0,2.3440467418485214,1
2015-02-01,2015-02,194.48,57.93,30570250417.595554,13.0,6.9864671581032045,20.51175369253173,2.255790425485338,0.0,3.2100943050367774,1
2015-03-01,2015-03,197.07,55.79,30815161614.10875,13.0,1.3317564788152936,-3.694113585361647,0.8011422646777788,0.0,3.4272459164894813,1
2015-04-01,2015-04,197.0,59.39,30824614824.49125,13.0,-0.03552037347135384,6.452769313497053,0.030677140366419664,0.0,3.7227567686424723,1
2015-05-01,2015-05,197.0,64.56,31275366865.75875,13.0,0.0,8.705169220407472,1.4623119991409084,0.0,0.7793462010553832,0
2015-06-01,2015-06,196.92,62.34,31298707242.415,13.0,-0.04060913705584701,-3.438661710037172,0.07462862628098144,0.0,0.02212349602641389,0
2015-07-01,2015-07,196.97,55.87,30723045725.58875,13.0,0.02539102173471086,-10.3785691369907,-1.83925014016596,0.0,0.03329120744113738,0
2015-08-01,2015-08,197.0,46.99,30431194801.12125,13.0,0.015230745798855416,-15.89403973509933,-0.9499413797520062,0.0,0.035537174630940215,0
2015-09-01,2015-09,197.0,47.24,30826496642.706,13.0,0.0,0.5320280910832142,1.2990020410575065,0.0,0.012779611426122665,0
2015-10-01,2015-10,196.99,48.12,30554336188.67556,13.0,-0.005076142131976713,1.8628281117696766,-0.8828783146684227,0.0,0.010568132393900139,0
2015-11-01,2015-11,196.99,44.42,30758000275.205715,11.0,0.0,-7.68911055694097,0.6665636107180184,-2.0,0.0029307120206870916,0
2015-12-01,2015-12,196.99,37.72,31136071429.295,11.0,0.0,-15.083295812696985,1.2291798904561668,0.0,0.0029307120206870916,0
2016-01-01,2016-01,197.0,30.8,26311991351.40889,11.0,0.00507639981723873,-18.345705196182394,-15.493541273634403,0.0,0.002930860800996948,0
2016-02-01,2016-02,197.0,33.2,26070440164.15,11.0,0.0,7.792207792207795,-0.9180270091794229,0.0,0.002930860800996948,0
2016-03-01,2016-03,197.0,39.07,26536408003.24333,12.0,0.0,17.68072289156626,1.7873416641967177,1.0,0.002930860800996948,0
2016-04-01,2016-04,197.0,42.25,26708339586.94889,12.0,0.0,8.139237266444832,0.6479082763746646,0.0,0.0,0
2016-05-01,2016-05,197.0,47.13,26524654560.26125,12.0,0.0,11.550295857988168,-0.6877440886568609,0.0,0.0,0
2016-06-01,2016-06,231.76,48.48,26359568835.02,12.0,17.644670050761423,2.864417568427746,-0.6223859574351565,0.0,10.187155003569234,1
2016-07-01,2016-07,294.57,45.07,26175176882.79875,14.0,27.101311701760444,-7.033828382838281,-0.6995256765212177,2.0,13.755262922918051,1
2016-08-01,2016-08,309.73,46.14,26525503347.899,14.0,5.14648470652137,2.374084757044592,1.3383919683479517,0.0,11.012471237989416,1
2016-09-01,2016-09,305.23,46.19,26138924003.24625,14.0,-1.4528783133697099,0.10836584308624442,-1.4573874040485157,0.0,14.949402374227445,1
2016-10-01,2016-10,305.21,49.73,26175366540.94143,14.0,-0.0065524358680457695,7.663996536046769,0.139418660426327,0.0,3.468843289510252,1
2016-11-01,2016-11,305.18,46.44,26604317246.506668,14.0,-0.009829297860475261,-6.615724914538513,1.6387572066824951,0.0,0.8340922953444385,0
2016-12-01,2016-12,305.22,54.07,26758577759.905712,14.0,0.01310701880858911,16.429801894918185,0.5798326338154691,0.0,0.012405016492808705,0
2017-01-01,2017-01,305.2,54.89,31338483788.685,14.0,-0.006552650547153593,1.5165526169779842,17.115655659553354,0.0,0.012405063745732175,0
2017-02-01,2017-02,305.31,55.49,30679434356.216663,14.0,0.03604193971167291,1.093095281472034,-2.1030035687504833,0.0,0.021318271957027037,0
2017-03-01,2017-03,306.4,51.97,29951559155.343,14.0,0.35701418230649207,-6.3434853126689505,-2.372518320978023,0.0,0.1987537511541073,0
2017-04-01,2017-04,306.05,52.98,31003782221.444283,14.0,-0.11422976501304083,1.9434289012892014,3.5130827769063844,0.0,0.24071962378203648,0
2017-05-01,2017-05,305.54,50.87,31043890596.32125,14.0,-0.16663943800032666,-3.982634956587394,0.1293660708570732,0.0,0.28839519926900203,0
2017-06-01,2017-06,305.72,46.89,31007694980.528004,14.0,0.05891209007005127,-7.823864753292698,-0.11659497278841968,0.0,0.11803838896675994,0
2017-07-01,2017-07,305.86,48.69,31370049335.67556,14.0,0.045793536569416204,3.8387715930902067,1.168594941917167,0.0,0.12660526380938114,0
2017-08-01,2017-08,305.67,51.37,31615651999.73375,14.0,-0.06211992414830725,5.50421031012529,0.7829208728048709,0.0,0.06641556032017275,0
2017-09-01,2017-09,305.89,55.16,30613326275.12875,14.0,0.07197304282395844,7.377846992408021,-3.170346525238321,0.0,0.07107695986664715,0
2017-10-01,2017-10,305.62,57.62,30633127858.623333,14.0,-0.08826702409362452,4.4597534445250275,0.06468288782677245,0.0,0.0859665377465795,0
2017-11-01,2017-11,305.9,62.57,31386137409.39125,14.0,0.0916170407695649,8.590767094758768,2.4581543035473663,0.0,0.09867542964421286,0
2017-12-01,2017-12,306.31,64.21,31285251155.38,14.0,0.13403072899640378,2.621064407863183,-0.3214357112355737,0.0,0.11802082356492591,0
2018-01-01,2018-01,305.78,68.99,43999777623.192,14.0,-0.17302732525873443,7.444323314125523,40.640640551883614,0.0,0.16639321405561827,0
2018-02-01,2018-02,305.9,65.42,43847603067.23125,14.0,0.039243900843755064,-5.174662994636892,-0.34585301149464565,0.0,0.15723033258318977,0
2018-03-01,2018-03,305.74,66.45,44977160960.835,14.0,-0.052304674730296874,1.5744420666462977,2.5760995233235606,0.0,0.10646922362149298,0
2018-04-01,2018-04,305.61,71.63,45054475251.8775,14.0,-0.0425197880552064,7.7953348382242105,0.17189677914493107,0.0,0.050269584109621526,0
2018-05-01,2018-05,305.83,76.65,43867977015.23,14.0,0.07198717319458758,7.008236772302112,-2.6334747658570357,0.0,0.06910867244488476,0
2018-06-01,2018-06,305.87,75.19,45024658972.22375,14.0,0.013079161625739744,-1.9047619047619202,2.6367342095400703,0.0,0.05726144893870447,0
2018-07-01,2018-07,305.81,74.44,44536795227.605,14.0,-0.019616176807135677,-0.9974730682271615,-1.0835478952094024,0.0,0.04642253891134388,0
2018-08-01,2018-08,306.06,73.13,43930495961.73,14.0,0.08175010627513579,-1.759806555615262,-1.3613446202774826,0.0,0.051736201284776254,0
2018-09-01,2018-09,306.27,78.86,44290074529.63555,14.0,0.06861399725544004,7.835361684671138,0.818516977861572,0.0,0.055124471760556515,0
2018-10-01,2018-10,306.5,80.47,44998852477.99875,14.0,0.07509713651354666,2.0415926959168162,1.600308773219461,0.0,0.0065682374797626395,0
2018-11-01,2018-11,306.71,65.17,45104226480.035,14.0,0.06851549755300113,-19.01329688082515,0.23417042042965797,0.0,0.0037717981634704627,0
2018-12-01,2018-12,306.92,56.46,44017506339.795,14.0,0.06846858596070149,-13.365045266226794,-2.4093532359346304,0.0,0.0038135253727901884,0
2019-01-01,2019-01,306.85,59.27,43409222906.44334,14.0,-0.022807246187928065,4.976974849450944,-1.38191252511215,0.0,0.05271167369057688,0
2019-02-01,2019-02,306.77,64.13,43403450455.42625,14.0,-0.026071370376423708,8.199763792812531,-0.013297752483454328,0.0,0.05366522055833073,0
2019-03-01,2019-03,306.92,66.41,43431613663.475,13.5,0.04889656746096538,3.555278340870105,0.06488702569320548,-0.5,0.04237193076825986,0
2019-04-01,2019-04,306.96,71.2,42568483397.14223,13.5,0.013032712107374778,7.212769161270893,-1.9873317925063527,0.0,0.03749563772714336,0
2019-05-01,2019-05,306.95,70.53,42886060851.87125,13.5,-0.003257753453211887,-0.9410112359550582,0.7460389221908281,0.0,0.0266822930645661,0
2019-06-01,2019-06,306.95,63.3,42891313581.56125,13.5,0.0,-10.25095703955764,0.012248104828627149,0.0,0.008620168315194824,0
2019-07-01,2019-07,306.94,64.0,43128703180.85375,13.5,-0.00325785958624758,1.1058451816745807,0.5534677758028739,0.0,0.0018808954753136479,0
2019-08-01,2019-08,306.93,59.25,43291420969.09,13.5,-0.003257965726199963,-7.421875,0.3772842126829268,0.0,0.001880956753247013,0
2019-09-01,2019-09,306.92,62.33,43278747757.955,13.5,-0.0032580718730579328,5.198312236286906,-0.029274186088834586,0.0,1.554819777847831e-07,0
2019-10-01,2019-10,306.96,59.37,43333159531.511246,13.5,0.013032712107374778,-4.7489170543879355,0.12572400167525366,0.0,0.009405457875290279,0
2019-11-01,2019-11,306.95,62.74,43039890913.62112,13.5,-0.003257753453211887,5.676267475155816,-0.676776448015215,0.0,0.00940539659855465,0
